Customer_Age,Income,Total_Spending,Recency,Customer_Tenure,Family_Size,Total_Children,Purchase_Frequency,Accepted_Campaigns,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,Cluster
74,61823.0,884,26,4700,3,1,20,0,8,10,2,1
75,67680.0,606,8,4587,3,1,18,0,7,8,3,1
78,70666.0,1076,29,4409,2,0,15,0,7,4,4,1
55,25721.0,34,75,4608,3,1,4,1,1,2,1,0
59,32474.0,11,0,4253,4,2,3,0,1,2,0,0
47,88194.0,1274,19,4306,3,1,31,3,11,10,10,1
68,69096.0,653,4,4479,3,1,17,0,5,10,2,1
56,74854.0,1562,90,4651,5,3,12,0,2,5,5,1
72,66991.0,1253,1,4860,2,0,18,0,4,6,8,1
53,51381.5,109,25,4857,3,1,6,0,3,3,0,0
67,65031.0,863,29,4673,3,1,26,0,10,13,3,1
51,60631.0,661,88,4654,4,2,19,1,9,8,2,1
74,28332.0,65,58,4264,2,0,7,0,2,4,1,0
49,40246.0,13,68,4761,3,1,3,0,1,2,0,0
54,75251.0,1890,34,4875,2,0,18,1,7,5,6,1
50,75825.0,2209,40,4829,2,0,22,2,5,9,8,1
50,26326.0,18,12,4502,2,0,3,0,0,3,0,0
61,56046.0,692,9,4747,2,0,19,2,10,8,1,1
41,29760.0,165,87,4873,3,1,8,0,3,4,1,0
57,26304.0,16,5,4575,3,1,3,0,1,2,0,0
53,23559.0,79,87,4565,3,1,6,0,3,3,0,0
63,38620.0,318,56,4618,2,0,10,0,2,3,5,1
39,81361.0,778,18,4328,2,0,26,0,3,13,10,1
66,29440.0,56,95,4526,4,2,5,0,1,4,0,0
56,36138.0,151,48,4552,4,2,8,1,3,4,1,0
69,50388.0,372,3,4236,3,1,13,3,6,6,1,1
53,79593.0,1366,70,4252,2,0,18,1,5,7,6,1
59,54178.0,194,79,4363,3,1,9,0,2,5,2,0
69,51381.5,603,4,4791,5,3,17,0,7,8,2,1
69,51381.5,18,45,4237,4,2,3,0,1,2,0,0
53,51381.5,985,87,4422,2,0,14,0,2,8,4,1
54,42394.0,32,69,4302,3,1,4,0,1,3,0,0
56,23626.0,43,84,4240,3,1,7,0,3,3,1,0
43,30096.0,45,30,4242,3,1,5,0,2,3,0,0
66,47916.0,606,72,4788,3,1,17,1,7,6,4,1
54,51813.0,63,37,4648,4,2,5,0,2,3,0,0
75,78497.0,978,44,4414,2,0,24,1,5,12,7,1
43,50150.0,410,32,4578,2,0,14,0,5,7,2,0
66,47823.0,72,0,4545,3,1,5,0,2,3,0,0
67,34554.0,55,43,4295,3,1,5,0,2,3,0,0
47,85693.0,1169,59,4639,3,1,25,0,9,11,5,1
81,65846.0,1120,68,4612,2,0,15,0,6,6,3,1
67,87195.0,1097,35,4256,2,0,19,1,3,5,11,1
47,24594.0,29,94,4405,3,1,4,0,1,3,0,0
62,49096.0,187,15,4482,4,2,9,0,4,4,1,0
57,52413.0,910,56,4716,4,2,22,0,6,12,4,1
48,38557.0,145,17,4761,3,1,7,0,3,3,1,0
66,89058.0,850,18,4773,2,0,13,0,5,4,4,1
47,77298.0,969,46,4443,3,1,23,0,6,11,6,1
35,68126.0,1820,40,4800,2,0,16,2,7,5,4,1
63,57288.0,608,27,4208,3,1,17,1,8,8,1,1
35,86037.0,730,95,4747,2,0,24,3,6,11,7,1
46,43974.0,551,19,4768,3,1,16,0,6,6,4,1
64,50785.0,114,27,4496,4,2,6,0,2,3,1,0
56,90765.0,1724,25,4360,2,0,15,2,4,5,6,1
48,36550.0,577,74,4699,3,1,15,0,9,5,1,1
59,30753.0,81,85,4557,4,2,5,0,1,3,1,0
57,21918.0,33,37,4431,3,1,5,0,2,3,0,0
73,56129.0,660,65,4578,3,1,18,0,6,10,2,1
59,32557.0,80,13,4329,3,1,6,1,2,3,1,0
41,19510.0,30,63,4502,4,2,4,0,1,3,0,0
50,30992.0,43,83,4637,3,1,4,0,1,3,0,0
43,101970.0,1135,69,4678,2,0,27,4,6,13,8,1
61,71488.0,559,87,4700,2,0,14,0,3,7,4,1
42,79607.0,1923,37,4638,2,0,15,1,3,6,6,1
73,54348.0,90,51,4225,4,2,6,0,2,4,0,0
65,51381.5,404,23,4557,3,1,14,0,6,7,1,0
70,77376.0,661,72,4254,4,2,19,0,6,10,3,1
74,62998.0,463,10,4476,3,1,14,0,5,5,4,1
68,61331.0,632,42,4680,4,2,18,0,11,6,1,1
57,73448.0,725,10,4343,2,0,18,0,7,9,2,1
63,51381.5,725,96,4526,3,1,18,0,6,7,5,1
62,41551.0,279,51,4523,4,2,11,0,5,5,1,0
59,62981.0,1482,21,4673,2,0,22,1,4,13,5,1
50,9548.0,29,31,4894,3,1,4,0,1,3,0,0
67,33762.0,106,61,4561,5,3,6,0,2,2,2,0
53,35860.0,49,37,4245,4,2,4,2,1,2,1,0
61,36921.0,38,74,4540,4,2,5,0,2,3,0,0
34,92859.0,2077,46,4822,2,0,21,0,5,12,4,1
50,65104.0,1053,4,4431,3,1,15,1,3,7,5,1
64,86111.0,1385,73,4640,2,0,22,0,5,10,7,1
52,68352.0,871,47,4509,3,1,22,0,8,9,5,1
38,41883.0,312,13,4671,3,1,9,0,4,3,2,0
50,59809.0,877,36,4823,4,2,12,0,3,6,3,1
51,23957.0,68,47,4813,3,1,5,1,2,3,0,0
45,38547.0,22,49,4509,3,1,3,0,1,2,0,0
53,35688.0,211,94,4880,5,3,9,0,4,4,1,0
60,49605.0,127,65,4212,2,0,7,0,2,4,1,0
73,59354.0,459,59,4270,4,2,15,0,4,7,4,1
57,65747.0,460,96,4318,3,1,15,1,8,6,1,1
54,46344.0,429,28,4766,3,1,13,0,7,5,1,0
38,34176.0,89,12,4252,3,1,7,0,3,4,0,0
74,61010.0,1021,57,4832,3,1,24,0,8,11,5,1
77,69372.0,1381,10,4699,2,0,20,3,10,6,4,1
68,49967.0,306,4,4560,3,1,12,0,6,5,1,0
48,60199.0,18,49,4494,5,3,3,0,0,3,0,0
49,55375.0,162,3,4459,3,1,8,0,1,6,1,0
71,80317.0,1231,64,4517,2,0,17,0,3,10,4,1
68,30523.0,13,0,4567,5,3,3,0,1,2,0,0
81,70356.0,1706,20,4805,2,0,25,0,10,9,6,1
42,23228.0,121,91,4379,3,1,7,0,3,4,0,0
51,74165.0,1293,9,4628,2,0,19,0,5,10,4,1
53,157243.0,1608,98,4324,3,1,22,0,0,0,22,1
60,43482.0,88,83,4432,5,3,6,0,2,4,0,0
73,62551.0,421,27,4427,2,0,17,1,6,4,7,1
67,52332.0,259,63,4509,2,0,11,1,3,6,2,0
38,66951.0,1117,46,4443,2,0,14,0,3,7,4,1
69,26091.0,89,84,4328,4,2,6,0,2,3,1,0
61,33456.0,36,58,4273,4,2,4,0,1,3,0,0
44,28718.0,57,78,4555,3,1,5,0,2,3,0,0
56,50447.0,148,4,4273,4,2,7,0,3,3,1,0
67,53537.0,93,17,4354,4,2,6,0,2,3,1,0
59,52074.0,119,77,4290,3,1,6,1,2,2,2,0
51,80427.0,1835,56,4859,3,1,27,0,11,8,8,1
78,83837.0,1318,79,4764,2,0,24,3,9,5,10,1
56,38853.0,45,90,4241,4,2,5,0,2,3,0,0
67,38285.0,10,96,4209,5,3,3,0,0,3,0,0
75,78497.0,978,44,4414,2,0,24,1,5,12,7,1
50,51650.0,191,81,4253,3,1,9,0,4,4,1,0
38,16248.0,57,77,4254,3,1,6,0,2,3,1,0
80,66835.0,1033,21,4478,2,0,23,0,6,13,4,1
42,30477.0,66,16,4362,3,1,5,0,1,3,1,0
65,28249.0,43,80,4218,2,0,5,0,2,3,0,0
43,25271.0,50,45,4775,3,1,4,0,1,2,1,0
56,32303.0,39,63,4317,3,1,5,0,1,4,0,0
60,61286.0,608,34,4535,3,1,16,0,7,8,1,1
50,74068.0,1581,14,4671,2,0,23,0,4,9,10,1
62,45759.0,68,13,4695,4,2,5,0,2,3,0,0
48,24882.0,80,52,4862,3,1,4,1,1,2,1,0
37,66973.0,1282,98,4612,2,0,27,0,8,12,7,1
126,36640.0,65,99,4480,3,1,5,0,2,2,1,0
38,38872.0,91,93,4599,3,1,6,0,3,3,0,0
53,51148.0,315,38,4700,4,2,12,0,5,6,1,0
49,31353.0,31,24,4386,4,2,4,0,1,2,1,0
46,69661.0,834,80,4251,2,0,22,0,7,12,3,1
72,80067.0,1600,82,4487,2,0,16,1,4,6,6,1
72,86718.0,1270,20,4732,2,0,16,0,5,5,6,1
53,46854.0,263,81,4294,4,2,9,2,5,3,1,1
74,69142.0,535,50,4204,3,1,16,1,8,7,1,1
58,75922.0,1295,60,4406,2,0,17,0,4,9,4,1
48,63693.0,1150,63,4462,3,1,26,0,11,9,6,1
49,102160.0,1240,54,4808,2,0,26,4,7,10,9,1
61,40637.0,38,72,4551,4,2,4,0,1,3,0,0
42,18890.0,35,5,4800,2,0,3,2,0,2,1,0
38,29604.0,53,88,4407,3,1,4,1,1,3,0,0
63,48721.0,293,50,4616,4,2,11,0,4,5,2,0
60,44794.0,65,99,4225,3,1,5,0,2,3,0,0
72,64497.0,1804,17,4861,3,1,24,2,11,9,4,1
70,46097.0,241,11,4659,3,1,10,0,3,6,1,0
72,77972.0,1101,18,4307,2,0,19,0,4,9,6,1
58,44377.0,264,70,4836,4,2,11,0,5,5,1,0
52,46014.0,541,21,4728,4,2,16,0,7,8,1,1
41,70951.0,1198,66,4625,2,0,16,0,3,9,4,1
49,41443.0,482,79,4293,3,1,14,0,8,5,1,1
48,52195.0,17,2,4252,5,3,3,0,1,2,0,0
78,83790.0,1615,81,4430,2,0,24,2,8,6,10,1
72,44551.0,285,24,4506,3,1,10,0,4,5,1,0
46,69508.0,1135,48,4796,3,1,26,0,11,11,4,1
38,45204.0,114,93,4283,3,1,6,0,1,4,1,0
57,72460.0,1047,56,4431,2,0,15,0,3,7,5,1
56,77622.0,714,3,4280,4,2,20,0,6,11,3,1
46,30732.0,185,44,4744,3,1,9,0,4,4,1,0
64,63887.0,1245,38,4863,3,1,27,0,9,12,6,1
48,42011.0,189,46,4664,3,1,8,0,3,4,1,0
50,51369.0,576,84,4816,3,1,14,0,8,4,2,1
74,51537.0,1103,27,4771,3,1,15,0,2,11,2,1
54,79930.0,1753,72,4894,2,0,16,0,3,8,5,1
40,34320.0,17,66,4337,3,1,3,0,1,2,0,0
60,37070.0,433,30,4670,4,2,14,1,5,8,1,1
64,81975.0,1588,2,4744,3,1,13,1,6,4,3,1
55,38590.0,22,65,4614,3,1,3,0,1,2,0,0
75,15033.0,19,37,4278,2,0,4,0,1,3,0,0
61,62745.0,1117,89,4667,3,1,26,0,7,11,8,1
51,22212.0,69,49,4406,3,1,6,0,2,4,0,0
44,23661.0,23,46,4411,3,1,4,0,1,3,0,0
68,79761.0,605,32,4472,3,1,18,0,5,11,2,1
53,7500.0,57,54,4389,3,1,7,0,3,3,1,0
133,60182.0,22,23,4247,3,1,3,0,1,2,0,0
58,73455.0,2088,98,4448,2,0,21,1,6,10,5,1
68,64961.0,1009,97,4757,3,1,14,0,6,4,4,1
55,22804.0,26,75,4537,3,1,4,0,2,2,0,0
36,73687.0,1627,8,4417,2,0,21,2,3,9,9,1
68,61074.0,1102,37,4885,3,1,24,0,11,8,5,1
62,31686.0,17,31,4228,4,2,4,0,1,3,0,0
54,80134.0,1690,40,4609,3,1,14,4,5,6,3,1
73,75027.0,1390,74,4740,3,1,19,0,9,6,4,1
38,67546.0,2126,90,4871,2,0,19,0,4,5,10,1
57,65176.0,1531,57,4812,3,1,21,0,9,6,6,1
51,31160.0,64,59,4490,3,1,5,0,2,3,0,0
41,29938.0,26,52,4449,3,1,4,0,1,3,0,0
52,102692.0,1112,5,4654,2,0,28,5,6,13,9,1
68,26490.0,210,92,4849,2,0,9,0,3,5,1,0
59,75702.0,1148,77,4873,4,2,21,0,4,11,6,1
52,30899.0,33,35,4828,3,1,4,0,1,3,0,0
65,63342.0,1101,48,4825,3,1,16,1,8,5,3,1
62,45989.0,322,97,4819,3,1,12,0,3,7,2,0
62,18701.0,44,95,4594,4,2,6,0,2,4,0,0
69,40737.0,17,24,4407,5,3,3,0,1,2,0,0
47,15287.0,31,60,4831,3,1,4,2,1,2,1,0
58,69674.0,845,46,4607,4,2,22,0,10,10,2,1
56,44159.0,275,85,4216,3,1,11,0,4,6,1,0
48,37717.0,25,31,4787,3,1,3,0,1,2,0,0
74,43776.0,275,9,4715,4,2,11,1,5,4,2,0
60,38179.0,90,30,4676,4,2,7,0,3,3,1,0
63,80124.0,1495,47,4207,2,0,18,1,3,8,7,1
56,38097.0,184,70,4826,4,2,7,2,3,2,2,0
56,72940.0,981,13,4579,2,0,12,0,3,6,3,1
56,22070.0,67,11,4472,3,1,6,0,2,2,2,0
73,69267.0,1635,31,4849,2,0,12,1,3,5,4,1
43,31788.0,60,15,4305,3,1,7,0,3,4,0,0
51,61905.0,231,2,4349,3,1,10,0,4,4,2,0
66,29315.0,48,55,4288,4,2,6,0,2,4,0,0
63,33378.0,99,38,4712,4,2,6,0,2,4,0,0
63,66313.0,770,86,4490,3,1,21,0,6,12,3,1
70,60714.0,957,56,4732,2,0,21,1,7,10,4,1
45,77882.0,818,29,4264,2,0,11,0,3,5,3,1
40,69867.0,925,30,4657,2,0,16,2,3,8,5,1
58,63841.0,908,64,4638,3,1,21,0,9,9,3,1
45,24480.0,102,46,4707,3,1,7,0,3,4,0,0
50,51369.0,576,84,4816,3,1,14,0,8,4,2,1
80,37760.0,317,20,4871,2,0,11,0,4,6,1,0
52,65640.0,461,74,4324,3,1,14,0,5,8,1,1
51,44319.0,37,18,4277,4,2,5,0,2,3,0,0
52,30631.0,70,75,4556,3,1,6,0,3,2,1,0
74,75278.0,930,17,4720,2,0,22,0,6,13,3,1
70,50898.0,859,88,4741,4,2,20,0,6,12,2,1
60,79946.0,1478,19,4252,2,0,21,0,5,5,11,1
77,35416.0,390,62,4585,2,0,13,0,7,5,1,0
42,32414.0,52,11,4564,2,0,4,1,1,3,0,0
57,38361.0,137,74,4388,3,1,7,0,3,3,1,0
46,82497.0,1919,32,4810,2,0,18,1,2,9,7,1
55,16626.0,68,76,4369,4,2,6,0,3,3,0,0
61,29672.0,25,6,4678,4,2,3,0,0,3,0,0
74,55951.0,1374,62,4879,3,1,20,2,3,11,6,1
38,35388.0,32,20,4683,3,1,4,0,1,3,0,0
40,42386.0,100,43,4736,3,1,6,0,3,3,0,0
44,68627.0,825,45,4737,2,0,11,0,2,6,3,1
61,57912.0,916,34,4308,3,1,23,1,8,12,3,1
68,35246.0,62,53,4278,4,2,7,0,3,3,1,0
70,58821.0,728,44,4464,3,1,20,0,9,9,2,1
48,46377.0,90,89,4324,3,1,6,0,2,3,1,0
38,39747.0,273,43,4281,3,1,10,0,5,4,1,0
42,23976.0,66,68,4388,3,1,7,0,3,3,1,0
65,80950.0,1213,44,4662,2,0,22,1,6,9,7,1
60,27038.0,107,64,4853,2,0,6,1,3,3,0,0
79,77457.0,1157,85,4320,2,0,17,1,2,10,5,1
62,64100.0,546,93,4496,3,1,17,1,8,6,3,1
34,42670.0,241,12,4632,2,0,10,0,4,4,2,0
50,12571.0,53,86,4366,3,1,7,0,3,3,1,0
59,22574.0,37,28,4448,5,3,5,0,2,3,0,0
37,51381.5,1611,69,4595,2,0,23,2,6,12,5,1
50,70893.0,1508,42,4712,2,0,22,0,6,10,6,1
60,54198.0,235,13,4398,4,2,10,0,3,6,1,0
70,28839.0,32,86,4314,4,2,5,0,2,3,0,0
54,40321.0,102,59,4539,4,2,6,0,3,3,0,0
41,66503.0,401,30,4888,3,1,13,0,4,6,3,1
75,30833.0,28,33,4552,4,2,4,0,1,3,0,0
56,51381.5,1052,67,4514,5,3,15,2,2,10,3,1
55,64795.0,680,23,4732,3,1,18,0,3,12,3,1
52,34421.0,30,81,4567,3,1,3,0,1,2,0,0
61,47025.0,20,6,4344,4,2,3,0,1,2,0,0
65,64325.0,1307,41,4711,3,1,18,0,10,5,3,1
73,40464.0,630,78,4738,3,1,18,0,8,8,2,1
69,62187.0,1283,49,4563,2,0,17,0,4,5,8,1
50,14849.0,65,39,4566,3,1,6,0,2,4,0,0
42,27255.0,37,3,4438,3,1,4,0,1,3,0,0
76,54432.0,38,37,4620,5,3,4,0,1,3,0,0
40,29999.0,160,22,4705,3,1,8,0,3,4,1,0
43,24072.0,23,79,4643,3,1,3,0,1,2,0,0
37,33996.0,71,46,4495,2,0,5,0,1,3,1,0
70,66334.0,1161,82,4656,3,1,17,1,9,5,3,1
55,35178.0,59,10,4739,3,1,4,2,1,2,1,0
43,22010.0,33,51,4568,3,1,5,0,2,3,0,0
66,62204.0,946,38,4859,4,2,21,0,4,12,5,1
58,75693.0,1442,10,4774,2,0,21,4,11,6,4,1
54,30675.0,62,14,4798,3,1,4,0,1,3,0,0
61,83003.0,1674,18,4687,2,0,21,2,7,8,6,1
127,83532.0,1853,36,4480,2,0,14,1,4,4,6,1
38,68655.0,1538,95,4892,2,0,20,0,4,11,5,1
40,41411.0,139,11,4408,2,0,7,0,2,4,1,0
57,55212.0,1182,65,4787,3,1,17,2,4,11,2,1
76,59292.0,507,71,4585,3,1,16,0,3,8,5,1
53,27190.0,18,13,4522,3,1,3,2,1,2,0,0
74,82623.0,940,58,4435,2,0,15,0,2,4,9,1
61,44300.0,42,65,4575,4,2,4,0,1,3,0,0
56,84835.0,1190,0,4217,2,0,14,1,4,6,4,1
55,30372.0,44,33,4755,4,2,5,0,2,3,0,0
50,33181.0,16,90,4381,3,1,3,1,1,2,0,0
69,71113.0,835,95,4398,3,1,22,0,6,9,7,1
40,71952.0,1443,93,4739,3,1,20,2,8,8,4,1
60,69759.0,1029,38,4448,2,0,15,1,4,5,6,1
52,72099.0,1188,18,4814,2,0,17,0,3,10,4,1
50,60000.0,1277,57,4758,3,1,19,0,11,5,3,1
48,38643.0,49,45,4416,4,2,5,0,2,3,0,0
71,50737.0,99,61,4618,3,1,6,1,2,4,0,0
57,68462.0,1670,6,4768,2,0,14,0,3,8,3,1
83,65073.0,900,65,4517,2,0,13,0,5,5,3,1
78,46681.0,425,52,4468,4,2,14,0,4,4,6,1
69,78618.0,2153,87,4843,2,0,21,1,4,10,7,1
57,62187.0,636,38,4303,3,1,18,0,6,10,2,1
48,28442.0,57,53,4329,4,2,7,0,2,4,1,0
48,37717.0,25,31,4787,3,1,3,0,1,2,0,0
59,51479.0,494,67,4752,4,2,15,0,6,6,3,0
57,54803.0,693,65,4881,3,1,17,0,6,9,2,1
66,79530.0,1348,64,4612,2,0,25,0,4,11,10,1
50,31615.0,51,82,4674,3,1,5,0,2,3,0,0
64,72025.0,1932,27,4793,2,0,15,0,4,8,3,1
51,52614.0,990,63,4779,3,1,14,0,2,8,4,1
42,35684.0,30,66,4272,3,1,4,0,1,3,0,0
51,48178.0,254,69,4813,4,2,10,0,5,4,1,0
56,29548.0,29,52,4508,3,1,4,1,1,2,1,0
60,63810.0,1371,45,4799,3,1,19,1,4,12,3,1
54,38578.0,73,2,4576,4,2,6,1,3,3,0,0
51,46098.0,120,86,4884,4,2,7,0,3,2,2,0
56,22585.0,81,23,4672,2,0,4,2,1,2,1,0
37,30279.0,37,13,4750,3,1,4,0,1,3,0,0
65,66426.0,1377,14,4474,3,1,18,0,3,10,5,1
57,30822.0,51,92,4584,3,1,4,0,1,3,0,0
57,33581.0,17,38,4741,4,2,3,0,1,2,0,0
41,19986.0,22,74,4431,3,1,3,0,0,3,0,0
72,27421.0,324,14,4768,2,0,11,0,4,6,1,0
53,35688.0,211,94,4880,5,3,9,0,4,4,1,0
45,36143.0,19,33,4295,3,1,3,0,0,2,1,0
55,10245.0,41,32,4614,3,1,5,0,1,2,2,0
58,43795.0,492,11,4460,3,1,14,2,7,4,3,1
66,63381.0,1005,78,4836,3,1,22,0,4,13,5,1
77,38823.0,114,56,4872,3,1,6,0,2,3,1,0
58,83664.0,1173,57,4621,4,2,16,0,2,12,2,1
47,90300.0,1738,7,4381,2,0,19,1,5,8,6,1
47,62499.0,222,0,4406,3,1,10,0,3,6,1,0
33,74293.0,1127,66,4260,2,0,15,0,5,6,4,1
80,51012.0,209,86,4641,2,0,9,0,4,4,1,0
58,70777.0,787,80,4328,3,1,20,0,5,12,3,1
35,68682.0,1598,56,4470,2,0,23,0,4,10,9,1
55,43824.0,186,18,4856,4,2,8,0,3,4,1,0
42,15345.0,47,51,4871,3,1,4,1,1,2,1,0
39,23442.0,27,71,4756,3,1,4,0,1,3,0,0
46,14515.0,96,71,4801,3,1,7,1,2,3,2,0
70,31395.0,64,80,4667,4,2,6,0,2,3,1,0
61,75276.0,1040,2,4844,2,0,22,0,9,9,4,1
52,42373.0,163,83,4522,4,2,8,0,2,5,1,0
66,30507.0,343,29,4679,2,0,10,0,5,4,1,0
71,55521.0,446,11,4454,5,3,15,2,6,6,3,0
61,48006.0,41,55,4224,4,2,4,0,1,3,0,0
54,27213.0,70,19,4872,3,1,6,1,2,4,0,0
55,65808.0,272,1,4234,4,2,11,0,5,5,1,0
52,30351.0,46,19,4592,3,1,5,0,3,2,0,0
63,50437.0,490,28,4824,4,2,16,0,7,8,1,0
44,23616.0,79,76,4793,3,1,6,1,3,3,0,0
50,53858.0,915,50,4801,3,1,13,0,4,6,3,1
71,66465.0,1485,1,4660,3,1,32,1,11,12,9,1
39,46923.0,369,90,4880,3,1,13,0,5,7,1,0
64,75072.0,1073,83,4726,3,1,17,0,5,8,4,1
83,75865.0,1242,73,4294,2,0,18,0,3,10,5,1
51,19789.0,78,24,4425,3,1,6,1,2,3,1,0
32,80134.0,1378,11,4339,2,0,20,4,2,11,7,1
45,91065.0,1474,33,4696,2,0,25,3,7,9,9,1
55,49505.0,751,4,4685,4,2,20,0,10,8,2,1
53,37401.0,48,14,4258,3,1,5,0,2,3,0,0
43,30096.0,45,30,4242,3,1,5,0,2,3,0,0
44,18492.0,10,75,4228,3,1,3,0,1,2,0,0
52,82584.0,1435,26,4594,2,0,15,3,3,8,4,1
85,93027.0,2119,77,4646,2,0,22,1,7,5,10,1
73,48686.0,20,8,4411,5,3,3,0,1,2,0,0
40,92910.0,1795,42,4270,2,0,26,3,6,13,7,1
37,75433.0,1188,28,4289,3,1,17,2,2,10,5,1
37,10404.0,43,52,4260,3,1,5,0,1,4,0,0
58,61314.0,1008,1,4634,3,1,22,0,5,12,5,1
65,84865.0,1688,1,4620,2,0,15,5,2,9,4,1
37,42387.0,684,42,4812,3,1,16,0,8,7,1,1
59,67309.0,1082,76,4726,4,2,24,0,9,9,6,1
62,75236.0,1068,27,4420,3,1,24,0,8,13,3,1
56,30015.0,57,28,4351,3,1,5,0,1,4,0,0
70,50943.0,46,49,4577,3,1,4,0,1,3,0,0
60,67272.0,733,12,4394,3,1,20,0,6,12,2,1
77,51529.0,467,14,4499,3,1,15,0,9,5,1,1
55,32011.0,122,89,4515,3,1,7,0,2,4,1,0
40,7500.0,36,96,4711,3,1,5,0,2,3,0,0
37,28691.0,34,56,4564,3,1,4,0,1,3,0,0
78,56223.0,156,72,4395,3,1,8,0,2,5,1,0
80,18100.0,14,14,4531,2,0,3,0,0,3,0,0
37,30279.0,37,13,4750,3,1,4,0,1,3,0,0
52,20130.0,34,99,4308,2,0,4,0,1,3,0,0
67,23295.0,20,72,4555,2,0,3,0,1,2,0,0
54,42618.0,192,92,4467,3,1,9,0,5,4,0,0
62,81246.0,1379,87,4386,2,0,16,2,4,7,5,1
50,24027.0,48,7,4589,3,1,5,0,2,3,0,0
73,55707.0,428,91,4393,3,1,14,0,3,9,2,1
71,57959.0,868,71,4627,3,1,22,0,4,11,7,1
57,56796.0,1001,24,4702,3,1,24,0,8,7,9,1
55,36230.0,59,17,4459,3,1,6,0,2,4,0,0
46,70829.0,431,87,4414,4,2,14,0,4,8,2,0
50,65991.0,971,21,4864,3,1,24,0,9,10,5,1
54,38988.0,348,90,4882,5,3,12,0,5,6,1,0
